"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"Verkäuferin",1966,"Jungingen","UVL"
"Speditionskaufmann",1969,"Mähringen","UVL"
"Landwirtschaftsmeister",1985,"Lehr","UVL"
"Justizvollzugsbeamter",1970,"Jungingen","UVL"
"Rentner",1950,"Lehr","UVL"
"Floristmeister",1985,"Jungingen","UVL"
"Bankkauffrau",1961,"Lehr","UVL"
"Hauswirtschaftsmeisterin",1979,"Jungingen","UVL"
"Fahrlehrer",1963,"Lehr","UVL"
"Schornsteinfegermeister",1965,"Jungingen","UVL"
"med. Fußpflegerin",1967,"Lehr","UVL"
"Bankkaufmann",1967,"Mähringen","UVL"
"Fachangestellte für Arbeitsförderung",1984,"Jungingen","UVL"
"Zahnmedizinische Fachangestellte",1968,"Lehr","UVL"
"Informatiker",1977,"Jungingen","UVL"
"Kfz-Mechatroniker",2000,"Mähringen","UVL"
"Architekt",1980,"Jungingen","UVL"
"Personalreferentin",1969,"Lehr","UVL"
"Metallbaumeister",1976,"Jungingen","UVL"
"Dipl.-Ingenieur",1961,"Lehr","UVL"
"Qulitätsmanagerin",1990,"Mähringen","UVL"
"Fachkauffrau für Büromanagement",1980,"Jungingen","UVL"
"Arzt",1964,"Oststadt","UVL"
"Schreiner",1966,"Jungingen","UVL"
"Qualitätsmanagerin",1982,"Mähringen","UVL"
"Oberveterinärrätin",1981,"Jungingen","UVL"
"Systemadministrator",1971,"Lehr","UVL"
"Dipl.-Ingenieur",1968,"Mähringen","UVL"
"Geschäftsbereichsleitung Personal",1984,"Jungingen","UVL"
"Kriminalbeamter i.R.",1957,"Jungingen","UVL"
"Medizinisch-technische Laborassistentin",1982,"Lehr","UVL"
"selbst. Stuckateurmeister",1977,"Mähringen","UVL"
"Gymnasiallehrer",1971,"Jungingen","UVL"
"Elektrotechniker",1985,"Jungingen","UVL"
"Landwirt",1962,"Jungingen","UVL"
"Arzt",1958,"Lehr","UVL"
"Ärztin",1955,"Eselsberg","UfA"
"Geschäftsführer",1970,"Weststadt","UfA"
"Architektin",1966,"Mitte","UfA"
"Hausarzt",1950,"Eselsberg","UfA"
"Beamtin",1964,"Weststadt","UfA"
"Justiziar",1968,"Mitte","UfA"
"selbst. Gastronomin",1989,"Eselsberg","UfA"
"Dipl.-Betriebswirt (BA)",1973,"Söflingen","UfA"
"Student",2002,"Weststadt","UfA"
"Inklusionsassistentin",1962,"Mitte","UfA"
"Mieter- und Objektmanager",1980,"Einsingen","UfA"
"Rechtsanwalt",1969,"Weststadt","UfA"
"Geschäftsführer",1970,"Mitte","UfA"
"Dipl.-Grafikdesignerin",1980,"Weststadt","UfA"
"kaufm. Angestellte",1967,"Oststadt","UfA"
"Kulturschaffender",1954,"Böfingen","UfA"
"Unternehmer",1972,"Oststadt","UfA"
"Schülerin",2006,"Mitte","UfA"
"Studentin",2004,"Oststadt","UfA"
"Arzt",1957,"Lehr","UfA"
"Produktgestalter",1968,"Weststadt","UfA"
"Kauffrau für Büromanagement",2000,"Söflingen","UfA"
"Lektorin",1946,"Oststadt","UfA"
"Orchestermusiker",1990,"Söflingen","UfA"
"Steuerfachangestellte",1966,"Eselsberg","UfA"
"selbst. Schreinermeister",1965,"Oststadt","UfA"
"Theaterpädagogin",1958,"Weststadt","UfA"
"Steuerberater",1976,"Jungingen","UfA"
"Innenstadtberater",1958,"Eselsberg","UfA"
"Lagerist",1963,"Weststadt","UfA"
"Gastronom",1967,"Weststadt","UfA"
"Student",2004,"Weststadt","UfA"
"Student",2003,"Weststadt","UfA"
"IT-Systemkaufmann",1988,"Eselsberg","UfA"
"Ärztin",1990,"Eselsberg","UfA"
"Rentnerin",1959,"Weststadt","UfA"
"Sporttrainerin",1964,"Eselsberg","UfA"
"Gastronomiefachkraft italienisch",1962,"Weststadt","UfA"
"kaufm. Angestellter",1967,"Eselsberg","UfA"
"Notar i.R.",1940,"Mitte","UfA"
"Sozial-und Kulturmanagerin",1958,"Weststadt","DIE LINKE"
"Betriebsrat",1965,"Mitte","DIE LINKE"
"gepr. Erzieherin",1988,"Mitte","DIE LINKE"
"Rentner",1955,"Wiblingen","DIE LINKE"
"Gesundheits-und Krankheitspflegerin",1970,"Eselsberg","DIE LINKE"
"Notfallsanitäter",1987,"Mitte","DIE LINKE"
"Psychologin (B.sc.)",1990,"Söflingen","DIE LINKE"
"Student",1990,"Söflingen","DIE LINKE"
"Laborhelferin",1969,"Weststadt","DIE LINKE"
"Industriemeister",1954,"Eselsberg","DIE LINKE"
"selbst. Tagespfelegeperson",1966,"Einsingen","DIE LINKE"
"wiss. Mitarbeiter",1990,"Weststadt","DIE LINKE"
"Lagerist i.R.",1939,"Mitte","DIE LINKE"
"Gewerkschaftssekretär",1982,"Eselsberg","DIE LINKE"
"kaufm. Angestellte",1974,"Eselsberg","DIE LINKE"
"Geschäftsführer",1986,"Böfingen","DIE LINKE"
"Notfallsanitäter",1983,"Weststadt","DIE LINKE"
"Student",2002,"Mitte","DIE LINKE"
"Studentin",1997,"Mitte","DIE LINKE"
"Elektrotechniker",1960,"Söflingen","DIE LINKE"
"Hausfrau",1970,"Böfingen","DIE LINKE"
"Verwaltungsmitarbeiter",1971,"Söflingen","DIE LINKE"
"Rentnerin",1953,"Weststadt","DIE LINKE"
"Projektentwickler",1952,"Weststadt","DIE LINKE"
"Ethnologin",1974,"Böfingen","DIE LINKE"
"wiss. Mitarbeiter",1996,"Oststadt","DIE LINKE"
"Rentnerin",1944,"Weststadt","DIE LINKE"
"Biologe",1985,"Eselsberg","DIE LINKE"
"Bankkauffrau",1995,"Böfingen","DIE LINKE"
"Übersetzer",1958,"Weststadt","DIE LINKE"
"Krankenschwester i.R.",1946,"Wiblingen","DIE LINKE"
"Auszubildender",2001,"Söflingen","DIE LINKE"
"Student",1995,"Oststadt","DIE LINKE"
"Rentner",1951,"Weststadt","DIE LINKE"
"Arbeiterin",1965,"Mitte","DIE LINKE"
"Krankenpflegehelferin",1974,"Böfingen","DIE LINKE"
"Künstlerin",1947,"Wiblingen","DIE LINKE"
"Arbeiter",1964,"Einsingen","DIE LINKE"
"kaufm. Angestellte",1959,"Eselsberg","DIE LINKE"
"Monteur",1951,"Eselsberg","DIE LINKE"
"Informatiker",1982,"Einsingen","PIRATEN"
"Rechtsanwalt",1967,"Einsingen","PIRATEN"
"selbständig",1990,"Einsingen","PIRATEN"
"IT-Systemadministrator",1974,"Weststadt","PIRATEN"
"Informatiker",1969,"Weststadt","PIRATEN"
"Biologe",1992,"Weststadt","PIRATEN"
"Arzt",1949,"Weststadt","PIRATEN"
"Geschäftsführer",1977,"Söflingen","PIRATEN"
"Rentner",1968,"Wiblingen","PIRATEN"
"Kulturmanager",1998,"Söflingen","BLO"
"Studentin",1996,"Donaustetten","BLO"
"Ingenieur",1977,"Lehr","BLO"
"Lehrer i.R.",1949,"Lehr","BLO"
"Student",2005,"Einsingen","BLO"
"Studentin",2000,"Jungingen","BLO"
"Arzt",1982,"Lehr","BLO"
"Landschaftsbautechniker",1965,"Donaustetten","BLO"
"Wirtschaftswissenschaftler",1990,"Gögglingen","BLO"
"Studentin",2003,"Jungingen","BLO"
"Consultant",1961,"Grimmelfingen","BLO"
"Oberfeldarzt",1961,"Lehr","BLO"
"Arzt",1952,"Eggingen","BLO"
"Arzthelferin",1974,"Lehr","BLO"
"Sportpsychologe",1988,"Söflingen","BLO"
"Auszubildender",2003,"Unterweiler","BLO"
"Facharzt",1967,"Donaustetten","BLO"
"Professor",1968,"Weststadt","BLO"
"Unternehmer",1968,"Donaustetten","BLO"
