"","Lfd...Nr.","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"264",725,"Rechtsanwaltsfachangestellte",1978,"Wiblingen","WWG"
"265",726,"Innenarchitektin",1981,"Wiblingen","WWG"
"266",727,"freiberufl. Fitnesstrainerin",1980,"Wiblingen","WWG"
"267",728,"Betriebswirt",1970,"Wiblingen","WWG"
"268",729,"Bankkauffrau",1971,"Jungingen","WWG"
"269",730,"selbst. Graveur",1973,"Wiblingen","WWG"
"270",731,"Betriebswirtin",1973,"Wiblingen","WWG"
"271",732,"Bürokraft",1964,"Wiblingen","WWG"
"272",733,"Informatikkauffrau",1979,"Wiblingen","WWG"
"273",734,"Zollbeamter",1975,"Wiblingen","WWG"
"274",735,"Erzieherin",1970,"Wiblingen","WWG"
"275",736,"Bürokauffrau",1981,"Wiblingen","WWG"
"276",737,"Vertriebsleiter",1962,"Wiblingen","WWG"
"277",738,"Verlagskauffrau",1964,"Wiblingen","WWG"
"278",739,"Pensionär",1955,"Wiblingen","WWG"
"279",740,"Techniker",1949,"Wiblingen","WWG"
"280",801,"Kinderärztin i.R.",1951,"Lehr","UVL"
"281",802,"Bankkaufmann",1972,"Jungingen","UVL"
"282",803,"staatl. anerkannte Erzieherin",1999,"Mähringen","UVL"
"283",804,"Dipl. Betriebswirt (BA)",1962,"Lehr","UVL"
"284",805,"Verkäuferin",1966,"Jungingen","UVL"
"285",806,"Speditionskaufmann",1969,"Mähringen","UVL"
"286",807,"Landwirtschaftsmeister",1985,"Lehr","UVL"
"287",808,"Justizvollzugsbeamter",1970,"Jungingen","UVL"
"288",809,"Rentner",1950,"Lehr","UVL"
"289",810,"Floristmeister",1985,"Jungingen","UVL"
"290",811,"Bankkauffrau",1961,"Lehr","UVL"
"291",812,"Hauswirtschaftsmeisterin",1979,"Jungingen","UVL"
"292",813,"Fahrlehrer",1963,"Lehr","UVL"
"293",814,"Schornsteinfegermeister",1965,"Jungingen","UVL"
"294",815,"med. Fußpflegerin",1967,"Lehr","UVL"
"295",816,"Bankkaufmann",1967,"Mähringen","UVL"
"296",817,"Fachangestellte für Arbeitsförderung",1984,"Jungingen","UVL"
"297",818,"Zahnmedizinische Fachangestellte",1968,"Lehr","UVL"
"298",819,"Informatiker",1977,"Jungingen","UVL"
"299",820,"Kfz-Mechatroniker",2000,"Mähringen","UVL"
"300",821,"Architekt",1980,"Jungingen","UVL"
"301",822,"Personalreferentin",1969,"Lehr","UVL"
"302",823,"Metallbaumeister",1976,"Jungingen","UVL"
"303",824,"Dipl.-Ingenieur",1961,"Lehr","UVL"
"304",825,"Qulitätsmanagerin",1990,"Mähringen","UVL"
"305",826,"Fachkauffrau für Büromanagement",1980,"Jungingen","UVL"
"306",827,"Arzt",1964,"Oststadt","UVL"
"307",828,"Schreiner",1966,"Jungingen","UVL"
"308",829,"Qualitätsmanagerin",1982,"Mähringen","UVL"
"309",830,"Oberveterinärrätin",1981,"Jungingen","UVL"
"310",831,"Systemadministrator",1971,"Lehr","UVL"
"311",832,"Dipl.-Ingenieur",1968,"Mähringen","UVL"
"312",833,"Geschäftsbereichsleitung Personal",1984,"Jungingen","UVL"
"313",834,"Kriminalbeamter i.R.",1957,"Jungingen","UVL"
"314",835,"Medizinisch-technische Laborassistentin",1982,"Lehr","UVL"
"315",836,"selbst. Stuckateurmeister",1977,"Mähringen","UVL"
"316",837,"Gymnasiallehrer",1971,"Jungingen","UVL"
"317",838,"Elektrotechniker",1985,"Jungingen","UVL"
"318",839,"Landwirt",1962,"Jungingen","UVL"
"319",840,"Arzt",1958,"Lehr","UVL"
"320",901,"Ärztin",1955,"Eselsberg","UfA"
